:START_ID,:END_ID,score:DOUBLE,:TYPE
94950,11190,0.038462,SCORE
94950,385,0.035711,SCORE
94950,1163,0.013129,SCORE
94950,68,0.012751,SCORE
94950,161,0.011418,SCORE
94950,11866,0.010824,SCORE
94950,2384,0.009783,SCORE
94950,3788,0.009662,SCORE
94950,1538,0.009657,SCORE
94950,5109,0.009623,SCORE
94950,1760,0.009617,SCORE
94950,7814,0.009617,SCORE
94950,6388,0.009617,SCORE
94950,448,0.008978,SCORE
94950,56413,0.008255,SCORE
94950,93813,0.008255,SCORE
94950,93700,0.008255,SCORE
94950,944,0.008064,SCORE
94950,7393,0.007984,SCORE
94950,120,0.007782,SCORE
94950,3329,0.007288,SCORE
94950,10545,0.007082,SCORE
94950,109300,0.007075,SCORE
94950,57615,0.007075,SCORE
94950,43592,0.006884,SCORE
94950,237,0.006829,SCORE
94950,1267,0.006691,SCORE
94950,2406,0.006337,SCORE
94950,6892,0.006231,SCORE
94950,461,0.006137,SCORE
94951,1793,0.016386,SCORE
94951,19128,0.013032,SCORE
94951,5898,0.011867,SCORE
94951,15232,0.011633,SCORE
94951,2262,0.010608,SCORE
94951,60,0.010515,SCORE
94951,2634,0.010154,SCORE
94951,1983,0.009581,SCORE
94951,9130,0.009237,SCORE
94951,2821,0.007836,SCORE
94951,1956,0.007811,SCORE
94951,15251,0.007306,SCORE
94951,261,0.007297,SCORE
94951,1004,0.007165,SCORE
94951,7653,0.006976,SCORE
94951,5897,0.006946,SCORE
94951,311,0.006841,SCORE
94951,1255,0.006628,SCORE
94951,12286,0.006356,SCORE
94951,174,0.006068,SCORE
94951,1317,0.005614,SCORE
94951,410,0.005147,SCORE
94951,1267,0.004656,SCORE
94951,806,0.004568,SCORE
94951,8906,0.004540,SCORE
94951,161,0.004459,SCORE
94951,193,0.004341,SCORE
94951,6192,0.004135,SCORE
94951,521,0.003965,SCORE
94951,28447,0.003909,SCORE
94952,1004,0.065929,SCORE
94952,30,0.036790,SCORE
94952,161,0.028783,SCORE
94952,4934,0.024739,SCORE
94952,275,0.023913,SCORE
94952,38,0.018582,SCORE
94952,13884,0.014072,SCORE
94952,141,0.013877,SCORE
94952,664,0.010668,SCORE
94952,511,0.009576,SCORE
94952,1989,0.008652,SCORE
94952,175,0.008240,SCORE
94952,385,0.007782,SCORE
94952,962,0.007641,SCORE
94952,1774,0.007326,SCORE
94952,817,0.006961,SCORE
94952,631,0.006838,SCORE
94952,13655,0.006324,SCORE
94952,4829,0.006235,SCORE
94952,878,0.006088,SCORE
94952,869,0.005933,SCORE
94952,6606,0.005844,SCORE
94952,518,0.004989,SCORE
94952,1463,0.004981,SCORE
94952,1690,0.004739,SCORE
94952,443,0.004694,SCORE
94952,1093,0.004363,SCORE
94952,796,0.004338,SCORE
94952,2378,0.003895,SCORE
94952,274,0.003832,SCORE
94953,1163,0.034062,SCORE
94953,944,0.032369,SCORE
94953,24,0.014321,SCORE
94953,17969,0.011435,SCORE
94953,24203,0.010490,SCORE
94953,405,0.009930,SCORE
94953,62,0.009272,SCORE
94953,287,0.008356,SCORE
94953,41437,0.007441,SCORE
94953,162,0.006855,SCORE
94953,11146,0.006775,SCORE
94953,13212,0.006758,SCORE
94953,1223,0.006749,SCORE
94953,4109,0.006455,SCORE
94953,34484,0.006419,SCORE
94953,4683,0.006022,SCORE
94953,381,0.005869,SCORE
94953,5330,0.005813,SCORE
94953,448,0.005685,SCORE
